trick_number,trick_name,stance,part,caption_seconds,family,subfamily,modifiers,sibling_key,youtube_url
597,double heelflip frontside body varial,Regular,6,428.7,Heelflips,Heelflip,Body Varial|Double|Frontside,double heelflip frontside body varial,https://www.youtube.com/watch?v=GLpC3pRebuI
598,fakie double heelflip frontside body varial,Fakie,6,431.5,Heelflips,Heelflip,Body Varial|Double|Frontside,double heelflip frontside body varial,https://www.youtube.com/watch?v=GLpC3pRebuI
599,360 flip late flip,Regular,6,433.8,Kickflips,360 Flip / Tre,Late|360,360 flip late flip,https://www.youtube.com/watch?v=GLpC3pRebuI
600,fakie heelflip anti casper flip,Fakie,6,441.3,Heelflips,Heelflip,Anti,heelflip anti casper flip,https://www.youtube.com/watch?v=GLpC3pRebuI
601,kickflip casper flip,Regular,7,1.6,Kickflips,Kickflip,,kickflip casper flip,https://www.youtube.com/watch?v=xyqJWofmzu4
602,fakie backside bigspin late flip,Fakie,7,11,Shuv-its,Bigspin,Late|Backside,backside bigspin late flip,https://www.youtube.com/watch?v=xyqJWofmzu4
603,pressure kickflip backside body varial,Regular,7,13.6,Kickflips,Kickflip,Pressure|Body Varial|Backside,pressure kickflip backside body varial,https://www.youtube.com/watch?v=xyqJWofmzu4
604,pressure backside kickflip,Regular,7,16,Kickflips,Kickflip,Pressure|Backside,pressure backside kickflip,https://www.youtube.com/watch?v=xyqJWofmzu4
605,pressure varial kickflip,Regular,7,19.8,Kickflips,Kickflip,Pressure,pressure varial kickflip,https://www.youtube.com/watch?v=xyqJWofmzu4
606,pressure varial kickflip rewind,Regular,7,23.4,Kickflips,Kickflip,Pressure|Rewind,pressure varial kickflip rewind,https://www.youtube.com/watch?v=xyqJWofmzu4
607,fakie pressure varial kickflip,Fakie,7,26.9,Kickflips,Kickflip,Pressure,pressure varial kickflip,https://www.youtube.com/watch?v=xyqJWofmzu4
608,triple kickflip backside body varial,Regular,7,29.3,Kickflips,Kickflip,Body Varial|Triple|Backside,triple kickflip backside body varial,https://www.youtube.com/watch?v=xyqJWofmzu4
609,nollie backside double heelflip,Nollie,7,31.9,Heelflips,Heelflip,Double|Backside,backside double heelflip,https://www.youtube.com/watch?v=xyqJWofmzu4
610,fakie late hardflip,Fakie,7,37,Kickflips,Hardflip,Late,late hardflip,https://www.youtube.com/watch?v=xyqJWofmzu4
611,backside shuv late shuv,Regular,7,39.8,Shuv-its,Shuv-it,Late|Backside,backside shuv late shuv,https://www.youtube.com/watch?v=xyqJWofmzu4
612,fakie backside shuv late shuv,Fakie,7,42.7,Shuv-its,Shuv-it,Late|Backside,backside shuv late shuv,https://www.youtube.com/watch?v=xyqJWofmzu4
613,fakie backside shuv under varial heel,Fakie,7,45.2,Shuv-its,Shuv-it,Backside|Underflip,backside shuv under varial heel,https://www.youtube.com/watch?v=xyqJWofmzu4
614,fakie backside shuv under bigspin heel,Fakie,7,52,Heelflips,Big Heel,Backside|Underflip,backside shuv under bigspin heel,https://www.youtube.com/watch?v=xyqJWofmzu4
615,switch double heel frontside body varial,Switch,7,54.3,Heelflips,Heelflip,Body Varial|Double|Frontside,double heel frontside body varial,https://www.youtube.com/watch?v=xyqJWofmzu4
616,backside shuv under varial heel,Regular,7,59.5,Shuv-its,Shuv-it,Backside|Underflip,backside shuv under varial heel,https://www.youtube.com/watch?v=xyqJWofmzu4
617,nollie double heel backside body varial,Nollie,7,64.4,Heelflips,Heelflip,Body Varial|Double|Backside,double heel backside body varial,https://www.youtube.com/watch?v=xyqJWofmzu4
618,late backside shuv body varial,Regular,7,72.1,Shuv-its,Shuv-it,Late|Body Varial|Backside,late backside shuv body varial,https://www.youtube.com/watch?v=xyqJWofmzu4
619,backside bigspin under double flip,Regular,7,76.7,Shuv-its,Bigspin,Double|Backside|Underflip,backside bigspin under double flip,https://www.youtube.com/watch?v=xyqJWofmzu4
620,fakie 540 shuv underflip,Fakie,7,79,Shuv-its,Shuv-it,540|Underflip,540 shuv underflip,https://www.youtube.com/watch?v=xyqJWofmzu4
621,fakie 360 shuv under double flip body varial,Fakie,7,81.3,Shuv-its,Shuv-it,Body Varial|Double|360|Underflip,360 shuv under double flip body varial,https://www.youtube.com/watch?v=xyqJWofmzu4
622,360 shuv under double flip body varial,Regular,7,83.8,Shuv-its,Shuv-it,Body Varial|Double|360|Underflip,360 shuv under double flip body varial,https://www.youtube.com/watch?v=xyqJWofmzu4
623,360 shuv underflip rewind,Regular,7,87.7,Shuv-its,Shuv-it,Rewind|360|Underflip,360 shuv underflip rewind,https://www.youtube.com/watch?v=xyqJWofmzu4
624,fakie frontside flip late flip,Fakie,7,89.7,Kickflips,Kickflip,Late|Frontside,frontside flip late flip,https://www.youtube.com/watch?v=xyqJWofmzu4
625,switch backside gazelle spin,Switch,7,94.8,Shuv-its,Gazelle,Backside|Body Varial,backside gazelle spin,https://www.youtube.com/watch?v=xyqJWofmzu4
626,cancel flip body varial,Regular,7,97.4,Kickflips,Kickflip,Late|Cancel|Body Varial,cancel flip body varial,https://www.youtube.com/watch?v=xyqJWofmzu4
627,fakie cancel flip body varial,Fakie,7,99.7,Kickflips,Kickflip,Late|Cancel|Body Varial,cancel flip body varial,https://www.youtube.com/watch?v=xyqJWofmzu4
628,frontside cancel flip,Regular,7,102.1,Kickflips,Kickflip,Late|Cancel|Frontside,frontside cancel flip,https://www.youtube.com/watch?v=xyqJWofmzu4
629,fakie frontside cancel flip,Fakie,7,106.4,Kickflips,Kickflip,Late|Cancel|Frontside,frontside cancel flip,https://www.youtube.com/watch?v=xyqJWofmzu4
